id,date,store_nbr,family,sales,onpromotion
210966,2013-04-29,28,PRODUCE,0.0,0
210967,2013-04-29,28,SCHOOL AND OFFICE SUPPLIES,0.0,0
210968,2013-04-29,28,SEAFOOD,3.0,0
210969,2013-04-29,29,AUTOMOTIVE,0.0,0
210970,2013-04-29,29,BABY CARE,0.0,0
210971,2013-04-29,29,BEAUTY,0.0,0
210972,2013-04-29,29,BEVERAGES,0.0,0
210973,2013-04-29,29,BOOKS,0.0,0
210974,2013-04-29,29,BREAD/BAKERY,0.0,0
210975,2013-04-29,29,CELEBRATION,0.0,0
210976,2013-04-29,29,CLEANING,0.0,0
210977,2013-04-29,29,DAIRY,0.0,0
210978,2013-04-29,29,DELI,0.0,0
210979,2013-04-29,29,EGGS,0.0,0
210980,2013-04-29,29,FROZEN FOODS,0.0,0
210981,2013-04-29,29,GROCERY I,0.0,0
210982,2013-04-29,29,GROCERY II,0.0,0
210983,2013-04-29,29,HARDWARE,0.0,0
210984,2013-04-29,29,HOME AND KITCHEN I,0.0,0
210985,2013-04-29,29,HOME AND KITCHEN II,0.0,0
210986,2013-04-29,29,HOME APPLIANCES,0.0,0
210987,2013-04-29,29,HOME CARE,0.0,0
210988,2013-04-29,29,LADIESWEAR,0.0,0
210989,2013-04-29,29,LAWN AND GARDEN,0.0,0
210990,2013-04-29,29,LINGERIE,0.0,0
210991,2013-04-29,29,"LIQUOR,WINE,BEER",0.0,0
210992,2013-04-29,29,MAGAZINES,0.0,0
210993,2013-04-29,29,MEATS,0.0,0
210994,2013-04-29,29,PERSONAL CARE,0.0,0
210995,2013-04-29,29,PET SUPPLIES,0.0,0
210996,2013-04-29,29,PLAYERS AND ELECTRONICS,0.0,0
210997,2013-04-29,29,POULTRY,0.0,0
210998,2013-04-29,29,PREPARED FOODS,0.0,0
210999,2013-04-29,29,PRODUCE,0.0,0
222593,2013-05-05,54,DAIRY,53.0,0
222594,2013-05-05,54,DELI,253.0,0
222595,2013-05-05,54,EGGS,83.0,0
222596,2013-05-05,54,FROZEN FOODS,8.0,0
222597,2013-05-05,54,GROCERY I,4237.0,0
222598,2013-05-05,54,GROCERY II,12.0,0
222599,2013-05-05,54,HARDWARE,0.0,0
222600,2013-05-05,54,HOME AND KITCHEN I,0.0,0
222601,2013-05-05,54,HOME AND KITCHEN II,0.0,0
222602,2013-05-05,54,HOME APPLIANCES,0.0,0
222603,2013-05-05,54,HOME CARE,0.0,0
222604,2013-05-05,54,LADIESWEAR,0.0,0
222605,2013-05-05,54,LAWN AND GARDEN,0.0,0
222606,2013-05-05,54,LINGERIE,10.0,0
222607,2013-05-05,54,"LIQUOR,WINE,BEER",0.0,0
222608,2013-05-05,54,MAGAZINES,0.0,0
222609,2013-05-05,54,MEATS,99.67,0
222610,2013-05-05,54,PERSONAL CARE,326.0,0
222611,2013-05-05,54,PET SUPPLIES,0.0,0
222612,2013-05-05,54,PLAYERS AND ELECTRONICS,0.0,0
222613,2013-05-05,54,POULTRY,56.507,0
222614,2013-05-05,54,PREPARED FOODS,79.0,0
222615,2013-05-05,54,PRODUCE,0.0,0
222616,2013-05-05,54,SCHOOL AND OFFICE SUPPLIES,0.0,0
222617,2013-05-05,54,SEAFOOD,0.0,0
280349,2013-06-07,25,HARDWARE,0.0,0
280350,2013-06-07,25,HOME AND KITCHEN I,0.0,0
280351,2013-06-07,25,HOME AND KITCHEN II,0.0,0
280352,2013-06-07,25,HOME APPLIANCES,0.0,0
280353,2013-06-07,25,HOME CARE,0.0,0
280354,2013-06-07,25,LADIESWEAR,0.0,0
280355,2013-06-07,25,LAWN AND GARDEN,4.0,0
280356,2013-06-07,25,LINGERIE,2.0,0
280357,2013-06-07,25,"LIQUOR,WINE,BEER",105.0,0
280358,2013-06-07,25,MAGAZINES,0.0,0
280359,2013-06-07,25,MEATS,223.819,0
280360,2013-06-07,25,PERSONAL CARE,44.0,0
280361,2013-06-07,25,PET SUPPLIES,0.0,0
280362,2013-06-07,25,PLAYERS AND ELECTRONICS,0.0,0
280363,2013-06-07,25,POULTRY,123.082,0
280364,2013-06-07,25,PREPARED FOODS,32.0,0
280365,2013-06-07,25,PRODUCE,11.0,0
280366,2013-06-07,25,SCHOOL AND OFFICE SUPPLIES,0.0,0
280367,2013-06-07,25,SEAFOOD,2.0,0
280368,2013-06-07,26,AUTOMOTIVE,5.0,0
280369,2013-06-07,26,BABY CARE,0.0,0
280370,2013-06-07,26,BEAUTY,0.0,0
280371,2013-06-07,26,BEVERAGES,352.0,0
280372,2013-06-07,26,BOOKS,0.0,0
280373,2013-06-07,26,BREAD/BAKERY,238.0,0
346450,2013-07-14,3,HOME AND KITCHEN II,0.0,0
346451,2013-07-14,3,HOME APPLIANCES,2.0,0
346452,2013-07-14,3,HOME CARE,0.0,0
346453,2013-07-14,3,LADIESWEAR,0.0,0
346454,2013-07-14,3,LAWN AND GARDEN,11.0,0
346455,2013-07-14,3,LINGERIE,29.0,0
346456,2013-07-14,3,"LIQUOR,WINE,BEER",0.0,0
346457,2013-07-14,3,MAGAZINES,0.0,0
346458,2013-07-14,3,MEATS,799.499,0
346459,2013-07-14,3,PERSONAL CARE,460.0,0
346460,2013-07-14,3,PET SUPPLIES,0.0,0
346461,2013-07-14,3,PLAYERS AND ELECTRONICS,0.0,0
346462,2013-07-14,3,POULTRY,732.15497,0
346463,2013-07-14,3,PREPARED FOODS,375.803,0
421888,2013-08-25,46,HOME AND KITCHEN II,0.0,0
421889,2013-08-25,46,HOME APPLIANCES,1.0,0
421890,2013-08-25,46,HOME CARE,0.0,0
421891,2013-08-25,46,LADIESWEAR,0.0,0
421892,2013-08-25,46,LAWN AND GARDEN,3.0,0
421893,2013-08-25,46,LINGERIE,18.0,0
421894,2013-08-25,46,"LIQUOR,WINE,BEER",0.0,0
421895,2013-08-25,46,MAGAZINES,0.0,0
421896,2013-08-25,46,MEATS,1376.3569,0
421897,2013-08-25,46,PERSONAL CARE,678.0,0
463467,2013-09-18,13,HOME AND KITCHEN I,0.0,0
463468,2013-09-18,13,HOME AND KITCHEN II,0.0,0
463469,2013-09-18,13,HOME APPLIANCES,1.0,0
463470,2013-09-18,13,HOME CARE,0.0,0
463471,2013-09-18,13,LADIESWEAR,0.0,0
463472,2013-09-18,13,LAWN AND GARDEN,0.0,0
463473,2013-09-18,13,LINGERIE,7.0,0
463474,2013-09-18,13,"LIQUOR,WINE,BEER",16.0,0
463475,2013-09-18,13,MAGAZINES,0.0,0
463476,2013-09-18,13,MEATS,97.037,0
463477,2013-09-18,13,PERSONAL CARE,115.0,0
463478,2013-09-18,13,PET SUPPLIES,0.0,0
463479,2013-09-18,13,PLAYERS AND ELECTRONICS,0.0,0
463480,2013-09-18,13,POULTRY,47.627,0
463481,2013-09-18,13,PREPARED FOODS,14.0,0
463482,2013-09-18,13,PRODUCE,0.0,0
463483,2013-09-18,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
463484,2013-09-18,13,SEAFOOD,0.0,0
463485,2013-09-18,14,AUTOMOTIVE,1.0,0
491186,2013-10-03,40,HARDWARE,0.0,0
491187,2013-10-03,40,HOME AND KITCHEN I,0.0,0
491188,2013-10-03,40,HOME AND KITCHEN II,0.0,0
491189,2013-10-03,40,HOME APPLIANCES,0.0,0
491190,2013-10-03,40,HOME CARE,0.0,0
491191,2013-10-03,40,LADIESWEAR,0.0,0
491192,2013-10-03,40,LAWN AND GARDEN,0.0,0
491193,2013-10-03,40,LINGERIE,1.0,0
491194,2013-10-03,40,"LIQUOR,WINE,BEER",7.0,0
491195,2013-10-03,40,MAGAZINES,0.0,0
491196,2013-10-03,40,MEATS,112.556,0
491197,2013-10-03,40,PERSONAL CARE,148.0,0
491198,2013-10-03,40,PET SUPPLIES,0.0,0
491199,2013-10-03,40,PLAYERS AND ELECTRONICS,0.0,0
491200,2013-10-03,40,POULTRY,62.178,0
491201,2013-10-03,40,PREPARED FOODS,28.0,0
491202,2013-10-03,40,PRODUCE,0.0,0
558936,2013-11-10,41,HOME AND KITCHEN I,0.0,0
558937,2013-11-10,41,HOME AND KITCHEN II,0.0,0
558938,2013-11-10,41,HOME APPLIANCES,0.0,0
558939,2013-11-10,41,HOME CARE,0.0,0
558940,2013-11-10,41,LADIESWEAR,0.0,0
558941,2013-11-10,41,LAWN AND GARDEN,1.0,0
558942,2013-11-10,41,LINGERIE,13.0,0
558943,2013-11-10,41,"LIQUOR,WINE,BEER",0.0,0
558944,2013-11-10,41,MAGAZINES,0.0,0
558945,2013-11-10,41,MEATS,253.598,0
558946,2013-11-10,41,PERSONAL CARE,312.0,0
558947,2013-11-10,41,PET SUPPLIES,0.0,0
558948,2013-11-10,41,PLAYERS AND ELECTRONICS,0.0,0
558949,2013-11-10,41,POULTRY,254.612,0
558950,2013-11-10,41,PREPARED FOODS,55.0,0
558951,2013-11-10,41,PRODUCE,14.0,0
558952,2013-11-10,41,SCHOOL AND OFFICE SUPPLIES,0.0,0
558953,2013-11-10,41,SEAFOOD,9.0,0
558954,2013-11-10,42,AUTOMOTIVE,0.0,0
558955,2013-11-10,42,BABY CARE,0.0,0
558956,2013-11-10,42,BEAUTY,0.0,0
558957,2013-11-10,42,BEVERAGES,0.0,0
558958,2013-11-10,42,BOOKS,0.0,0
558959,2013-11-10,42,BREAD/BAKERY,0.0,0
558960,2013-11-10,42,CELEBRATION,0.0,0
558961,2013-11-10,42,CLEANING,0.0,0
558962,2013-11-10,42,DAIRY,0.0,0
558963,2013-11-10,42,DELI,0.0,0
558964,2013-11-10,42,EGGS,0.0,0
558965,2013-11-10,42,FROZEN FOODS,0.0,0
558966,2013-11-10,42,GROCERY I,0.0,0
558967,2013-11-10,42,GROCERY II,0.0,0
558968,2013-11-10,42,HARDWARE,0.0,0
558969,2013-11-10,42,HOME AND KITCHEN I,0.0,0
558970,2013-11-10,42,HOME AND KITCHEN II,0.0,0
558971,2013-11-10,42,HOME APPLIANCES,0.0,0
558972,2013-11-10,42,HOME CARE,0.0,0
558973,2013-11-10,42,LADIESWEAR,0.0,0
558974,2013-11-10,42,LAWN AND GARDEN,0.0,0
558975,2013-11-10,42,LINGERIE,0.0,0
558976,2013-11-10,42,"LIQUOR,WINE,BEER",0.0,0
558977,2013-11-10,42,MAGAZINES,0.0,0
558978,2013-11-10,42,MEATS,0.0,0
558979,2013-11-10,42,PERSONAL CARE,0.0,0
558980,2013-11-10,42,PET SUPPLIES,0.0,0
558981,2013-11-10,42,PLAYERS AND ELECTRONICS,0.0,0
558982,2013-11-10,42,POULTRY,0.0,0
558983,2013-11-10,42,PREPARED FOODS,0.0,0
558984,2013-11-10,42,PRODUCE,0.0,0
558985,2013-11-10,42,SCHOOL AND OFFICE SUPPLIES,0.0,0
558986,2013-11-10,42,SEAFOOD,0.0,0
558987,2013-11-10,43,AUTOMOTIVE,7.0,0
558988,2013-11-10,43,BABY CARE,0.0,0
558989,2013-11-10,43,BEAUTY,3.0,0
558990,2013-11-10,43,BEVERAGES,2312.0,0
558991,2013-11-10,43,BOOKS,0.0,0
558992,2013-11-10,43,BREAD/BAKERY,235.0,0
558993,2013-11-10,43,CELEBRATION,0.0,0
558994,2013-11-10,43,CLEANING,881.0,0
558995,2013-11-10,43,DAIRY,350.0,0
558996,2013-11-10,43,DELI,147.0,0
558997,2013-11-10,43,EGGS,89.0,0
558998,2013-11-10,43,FROZEN FOODS,50.0,0
558999,2013-11-10,43,GROCERY I,3045.0,0
559000,2013-11-10,43,GROCERY II,2.0,0
559001,2013-11-10,43,HARDWARE,3.0,0
559002,2013-11-10,43,HOME AND KITCHEN I,0.0,0
559003,2013-11-10,43,HOME AND KITCHEN II,0.0,0
559004,2013-11-10,43,HOME APPLIANCES,1.0,0
559005,2013-11-10,43,HOME CARE,0.0,0
559006,2013-11-10,43,LADIESWEAR,0.0,0
559007,2013-11-10,43,LAWN AND GARDEN,0.0,0
559008,2013-11-10,43,LINGERIE,2.0,0
559009,2013-11-10,43,"LIQUOR,WINE,BEER",0.0,0
559010,2013-11-10,43,MAGAZINES,0.0,0
559011,2013-11-10,43,MEATS,167.541,0
559012,2013-11-10,43,PERSONAL CARE,186.0,0
559013,2013-11-10,43,PET SUPPLIES,0.0,0
559014,2013-11-10,43,PLAYERS AND ELECTRONICS,0.0,0
559015,2013-11-10,43,POULTRY,227.975,0
559016,2013-11-10,43,PREPARED FOODS,38.0,0
559017,2013-11-10,43,PRODUCE,0.0,0
559018,2013-11-10,43,SCHOOL AND OFFICE SUPPLIES,0.0,0
559019,2013-11-10,43,SEAFOOD,0.0,0
559020,2013-11-10,44,AUTOMOTIVE,29.0,0
559021,2013-11-10,44,BABY CARE,0.0,0
559022,2013-11-10,44,BEAUTY,12.0,0
559023,2013-11-10,44,BEVERAGES,6731.0,0
559024,2013-11-10,44,BOOKS,0.0,0
559025,2013-11-10,44,BREAD/BAKERY,1585.293,0
559026,2013-11-10,44,CELEBRATION,0.0,0
559027,2013-11-10,44,CLEANING,3415.0,0
559028,2013-11-10,44,DAIRY,3306.0,0
559029,2013-11-10,44,DELI,964.101,0
559030,2013-11-10,44,EGGS,979.0,0
559031,2013-11-10,44,FROZEN FOODS,719.672,0
559032,2013-11-10,44,GROCERY I,13014.0,0
559033,2013-11-10,44,GROCERY II,99.0,0
559034,2013-11-10,44,HARDWARE,2.0,0
559035,2013-11-10,44,HOME AND KITCHEN I,0.0,0
559036,2013-11-10,44,HOME AND KITCHEN II,0.0,0
559037,2013-11-10,44,HOME APPLIANCES,4.0,0
559038,2013-11-10,44,HOME CARE,0.0,0
559039,2013-11-10,44,LADIESWEAR,0.0,0
559040,2013-11-10,44,LAWN AND GARDEN,6.0,0
559041,2013-11-10,44,LINGERIE,28.0,0
559042,2013-11-10,44,"LIQUOR,WINE,BEER",0.0,0
559043,2013-11-10,44,MAGAZINES,0.0,0
559044,2013-11-10,44,MEATS,1240.038,0
559045,2013-11-10,44,PERSONAL CARE,946.0,0
559046,2013-11-10,44,PET SUPPLIES,0.0,0
559047,2013-11-10,44,PLAYERS AND ELECTRONICS,0.0,0
559048,2013-11-10,44,POULTRY,2305.564,0
559049,2013-11-10,44,PREPARED FOODS,658.216,0
559050,2013-11-10,44,PRODUCE,30.0,0
559051,2013-11-10,44,SCHOOL AND OFFICE SUPPLIES,0.0,0
559052,2013-11-10,44,SEAFOOD,114.496,0
559053,2013-11-10,45,AUTOMOTIVE,26.0,0
632842,2013-12-22,16,BABY CARE,0.0,0
632843,2013-12-22,16,BEAUTY,1.0,0
632844,2013-12-22,16,BEVERAGES,827.0,0
632845,2013-12-22,16,BOOKS,0.0,0
632846,2013-12-22,16,BREAD/BAKERY,234.0,0
632847,2013-12-22,16,CELEBRATION,0.0,0
632848,2013-12-22,16,CLEANING,1248.0,0
632849,2013-12-22,16,DAIRY,326.0,0
632850,2013-12-22,16,DELI,240.0,0
632851,2013-12-22,16,EGGS,195.0,0
632852,2013-12-22,16,FROZEN FOODS,394.186,0
632853,2013-12-22,16,GROCERY I,4200.0,0
632854,2013-12-22,16,GROCERY II,11.0,0
632855,2013-12-22,16,HARDWARE,0.0,0
632856,2013-12-22,16,HOME AND KITCHEN I,0.0,0
632857,2013-12-22,16,HOME AND KITCHEN II,0.0,0
632858,2013-12-22,16,HOME APPLIANCES,0.0,0
632859,2013-12-22,16,HOME CARE,0.0,0
632860,2013-12-22,16,LADIESWEAR,0.0,0
632861,2013-12-22,16,LAWN AND GARDEN,0.0,0
632862,2013-12-22,16,LINGERIE,1.0,0
632863,2013-12-22,16,"LIQUOR,WINE,BEER",0.0,0
632864,2013-12-22,16,MAGAZINES,0.0,0
632865,2013-12-22,16,MEATS,102.846,0
632866,2013-12-22,16,PERSONAL CARE,284.0,0
632867,2013-12-22,16,PET SUPPLIES,0.0,0
632868,2013-12-22,16,PLAYERS AND ELECTRONICS,0.0,0
632869,2013-12-22,16,POULTRY,161.743,0
632870,2013-12-22,16,PREPARED FOODS,35.0,0
632871,2013-12-22,16,PRODUCE,0.0,0
632872,2013-12-22,16,SCHOOL AND OFFICE SUPPLIES,0.0,0
632873,2013-12-22,16,SEAFOOD,6.0,0
632874,2013-12-22,17,AUTOMOTIVE,6.0,0
632875,2013-12-22,17,BABY CARE,0.0,0
632876,2013-12-22,17,BEAUTY,1.0,0
632877,2013-12-22,17,BEVERAGES,1076.0,0
632878,2013-12-22,17,BOOKS,0.0,0
632879,2013-12-22,17,BREAD/BAKERY,146.0,0
632880,2013-12-22,17,CELEBRATION,0.0,0
632881,2013-12-22,17,CLEANING,1061.0,0
632882,2013-12-22,17,DAIRY,380.0,0
632883,2013-12-22,17,DELI,299.0,0
632884,2013-12-22,17,EGGS,157.0,0
632885,2013-12-22,17,FROZEN FOODS,700.506,0
632886,2013-12-22,17,GROCERY I,3471.0,0
632887,2013-12-22,17,GROCERY II,9.0,0
632888,2013-12-22,17,HARDWARE,1.0,0
632889,2013-12-22,17,HOME AND KITCHEN I,0.0,0
632890,2013-12-22,17,HOME AND KITCHEN II,0.0,0
632891,2013-12-22,17,HOME APPLIANCES,1.0,0
632892,2013-12-22,17,HOME CARE,0.0,0
632893,2013-12-22,17,LADIESWEAR,0.0,0
632894,2013-12-22,17,LAWN AND GARDEN,0.0,0
632895,2013-12-22,17,LINGERIE,4.0,0
632896,2013-12-22,17,"LIQUOR,WINE,BEER",0.0,0
632897,2013-12-22,17,MAGAZINES,0.0,0
632898,2013-12-22,17,MEATS,186.117,0
632899,2013-12-22,17,PERSONAL CARE,161.0,0
632900,2013-12-22,17,PET SUPPLIES,0.0,0
632901,2013-12-22,17,PLAYERS AND ELECTRONICS,0.0,0
632902,2013-12-22,17,POULTRY,366.101,0
632903,2013-12-22,17,PREPARED FOODS,40.0,0
632904,2013-12-22,17,PRODUCE,0.0,0
632905,2013-12-22,17,SCHOOL AND OFFICE SUPPLIES,0.0,0
632906,2013-12-22,17,SEAFOOD,29.0,0
632907,2013-12-22,18,AUTOMOTIVE,2.0,0
632908,2013-12-22,18,BABY CARE,0.0,0
632909,2013-12-22,18,BEAUTY,1.0,0
632910,2013-12-22,18,BEVERAGES,1198.0,0
632911,2013-12-22,18,BOOKS,0.0,0
632912,2013-12-22,18,BREAD/BAKERY,539.0,0
632913,2013-12-22,18,CELEBRATION,0.0,0
632914,2013-12-22,18,CLEANING,698.0,0
632915,2013-12-22,18,DAIRY,511.0,0
632916,2013-12-22,18,DELI,188.272,0
632917,2013-12-22,18,EGGS,149.0,0
632918,2013-12-22,18,FROZEN FOODS,405.574,0
695967,2014-01-27,36,PRODUCE,817.947,0
695968,2014-01-27,36,SCHOOL AND OFFICE SUPPLIES,0.0,0
695969,2014-01-27,36,SEAFOOD,0.0,0
695970,2014-01-27,37,AUTOMOTIVE,3.0,0
695971,2014-01-27,37,BABY CARE,0.0,0
695972,2014-01-27,37,BEAUTY,5.0,0
695973,2014-01-27,37,BEVERAGES,2457.0,0
695974,2014-01-27,37,BOOKS,0.0,0
695975,2014-01-27,37,BREAD/BAKERY,514.326,0
695976,2014-01-27,37,CELEBRATION,6.0,0
695977,2014-01-27,37,CLEANING,902.0,0
695978,2014-01-27,37,DAIRY,1018.0,0
695979,2014-01-27,37,DELI,116.153,0
695980,2014-01-27,37,EGGS,169.0,0
695981,2014-01-27,37,FROZEN FOODS,158.716,0
695982,2014-01-27,37,GROCERY I,3014.0,0
695983,2014-01-27,37,GROCERY II,70.0,0
695984,2014-01-27,37,HARDWARE,3.0,0
695985,2014-01-27,37,HOME AND KITCHEN I,15.0,0
695986,2014-01-27,37,HOME AND KITCHEN II,4.0,0
695987,2014-01-27,37,HOME APPLIANCES,0.0,0
695988,2014-01-27,37,HOME CARE,226.0,0
695989,2014-01-27,37,LADIESWEAR,23.0,0
695990,2014-01-27,37,LAWN AND GARDEN,6.0,0
695991,2014-01-27,37,LINGERIE,15.0,0
695992,2014-01-27,37,"LIQUOR,WINE,BEER",61.0,0
695993,2014-01-27,37,MAGAZINES,8.0,0
695994,2014-01-27,37,MEATS,220.743,0
695995,2014-01-27,37,PERSONAL CARE,221.0,0
695996,2014-01-27,37,PET SUPPLIES,5.0,0
728305,2014-02-14,43,POULTRY,165.134,0
728306,2014-02-14,43,PREPARED FOODS,28.0,0
728307,2014-02-14,43,PRODUCE,0.0,0
728308,2014-02-14,43,SCHOOL AND OFFICE SUPPLIES,0.0,0
728309,2014-02-14,43,SEAFOOD,0.0,0
728310,2014-02-14,44,AUTOMOTIVE,9.0,0
728311,2014-02-14,44,BABY CARE,0.0,0
728312,2014-02-14,44,BEAUTY,2.0,0
728313,2014-02-14,44,BEVERAGES,3492.0,0
728314,2014-02-14,44,BOOKS,0.0,0
728315,2014-02-14,44,BREAD/BAKERY,875.917,0
728316,2014-02-14,44,CELEBRATION,0.0,0
728317,2014-02-14,44,CLEANING,1645.0,0
728318,2014-02-14,44,DAIRY,1970.0,0
728319,2014-02-14,44,DELI,405.6107,0
728320,2014-02-14,44,EGGS,443.0,0
728321,2014-02-14,44,FROZEN FOODS,433.0,0
728322,2014-02-14,44,GROCERY I,5690.0,0
728323,2014-02-14,44,GROCERY II,63.0,0
728324,2014-02-14,44,HARDWARE,0.0,0
732920,2014-02-17,23,MAGAZINES,0.0,0
732921,2014-02-17,23,MEATS,452.63098,0
732922,2014-02-17,23,PERSONAL CARE,152.0,0
732923,2014-02-17,23,PET SUPPLIES,0.0,0
732924,2014-02-17,23,PLAYERS AND ELECTRONICS,0.0,0
732925,2014-02-17,23,POULTRY,363.883,0
732926,2014-02-17,23,PREPARED FOODS,44.091,0
732927,2014-02-17,23,PRODUCE,3.0,0
732928,2014-02-17,23,SCHOOL AND OFFICE SUPPLIES,0.0,0
732929,2014-02-17,23,SEAFOOD,15.5529995,0
732930,2014-02-17,24,AUTOMOTIVE,1.0,0
732931,2014-02-17,24,BABY CARE,0.0,0
732932,2014-02-17,24,BEAUTY,6.0,0
732933,2014-02-17,24,BEVERAGES,1917.0,0
732934,2014-02-17,24,BOOKS,0.0,0
732935,2014-02-17,24,BREAD/BAKERY,558.744,0
732936,2014-02-17,24,CELEBRATION,0.0,0
732937,2014-02-17,24,CLEANING,989.0,0
732938,2014-02-17,24,DAIRY,950.0,0
732939,2014-02-17,24,DELI,183.043,0
732940,2014-02-17,24,EGGS,216.0,0
732941,2014-02-17,24,FROZEN FOODS,184.162,0
732942,2014-02-17,24,GROCERY I,3310.0,0
732943,2014-02-17,24,GROCERY II,8.0,0
732944,2014-02-17,24,HARDWARE,0.0,0
771418,2014-03-10,53,EGGS,0.0,0
771419,2014-03-10,53,FROZEN FOODS,0.0,0
771420,2014-03-10,53,GROCERY I,0.0,0
771421,2014-03-10,53,GROCERY II,0.0,0
771422,2014-03-10,53,HARDWARE,0.0,0
771423,2014-03-10,53,HOME AND KITCHEN I,0.0,0
771424,2014-03-10,53,HOME AND KITCHEN II,0.0,0
771425,2014-03-10,53,HOME APPLIANCES,0.0,0
771426,2014-03-10,53,HOME CARE,0.0,0
771427,2014-03-10,53,LADIESWEAR,0.0,0
